scene_id,date,cloud_cover,tile_id,platform,download_url,month
S2A_MSIL2A_20241129T053201_R105_T43PDT_20241129T083459,2024-11-29,9.3e-05,43PDT,Sentinel-2A,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/43/P/DT/2024/11/29/S2A_MSIL2A_20241129T053201_N0511_R105_T43PDT_20241129T083459.SAFE/GRANULE/L2A_T43PDT_A049294_20241129T054424/IMG_DATA/R10m/T43PDT_20241129T053201_B04_10m.tif,2024-11
S2B_MSIL2A_20241214T053139_R105_T43QEU_20241214T073556,2024-12-14,0.041125,43QEU,Sentinel-2B,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/43/Q/EU/2024/12/14/S2B_MSIL2A_20241214T053139_N0511_R105_T43QEU_20241214T073556.SAFE/GRANULE/L2A_T43QEU_A040600_20241214T053359/IMG_DATA/R10m/T43QEU_20241214T053139_B04_10m.tif,2024-12
